customer_id,customer_since,state,segment,is_active
C0000001,2025-07-22,CA,consumer,True
C0000002,2022-12-31,NY,consumer,True
C0000003,2023-06-21,FL,consumer,True
C0000004,2025-03-04,GA,consumer,True
C0000005,2022-08-16,NV,consumer,True
C0000006,2024-03-15,NC,small_business,True
C0000007,2024-08-31,AZ,consumer,True
C0000008,2019-10-20,GA,consumer,True
C0000009,2018-06-12,NV,consumer,True
C0000010,2020-05-26,NY,consumer,True
C0000011,2020-04-12,CO,consumer,True
C0000012,2024-12-25,NV,enterprise,True
C0000013,2025-04-18,CO,consumer,True
C0000014,2018-01-16,GA,consumer,True
C0000015,2021-12-30,FL,consumer,True
C0000016,2024-07-25,TX,consumer,True
C0000017,2019-01-19,UT,small_business,True
C0000018,2024-05-16,NC,consumer,True
C0000019,2018-12-14,NV,consumer,True
C0000020,2021-09-28,CA,consumer,True
C0000021,2024-07-12,FL,consumer,True
C0000022,2020-06-03,UT,consumer,True
C0000023,2020-09-24,TX,consumer,True
C0000024,2020-03-24,TX,small_business,False
C0000025,2023-10-02,WA,consumer,False
C0000026,2020-01-15,TX,consumer,True
C0000027,2025-12-02,AZ,consumer,True
C0000028,2021-07-23,CA,consumer,True
C0000029,2021-10-28,FL,consumer,False
C0000030,2022-01-13,NC,consumer,True
C0000031,2022-08-29,IL,consumer,False
C0000032,2022-06-05,CA,consumer,False
C0000033,2022-01-27,FL,enterprise,True
C0000034,2025-12-16,GA,consumer,True
C0000035,2024-06-16,NC,consumer,True
C0000036,2024-05-03,CA,consumer,True
C0000037,2023-08-07,NC,small_business,True
C0000038,2022-12-22,FL,consumer,True
C0000039,2020-09-22,CA,consumer,True
C0000040,2025-11-27,TX,consumer,True
C0000041,2021-09-23,AZ,small_business,True
C0000042,2019-09-21,NC,consumer,True
C0000043,2024-10-03,NC,consumer,True
C0000044,2019-04-13,CA,consumer,True
C0000045,2024-11-08,NY,consumer,True
C0000046,2022-11-24,GA,consumer,True
C0000047,2018-12-01,NC,consumer,True
C0000048,2018-05-09,FL,consumer,True
C0000049,2021-07-22,TX,consumer,True
C0000050,2018-04-15,NC,consumer,True
C0000051,2019-02-18,NY,small_business,True
C0000052,2022-02-12,IL,consumer,True
C0000053,2025-10-04,NY,consumer,True
C0000054,2021-09-23,FL,consumer,True
C0000055,2024-06-18,GA,enterprise,False
C0000056,2025-05-02,AZ,consumer,True
C0000057,2024-08-01,AZ,consumer,True
C0000058,2023-01-12,CA,consumer,True
C0000059,2021-07-12,FL,consumer,True
C0000060,2022-02-10,NY,small_business,True
C0000061,2020-02-17,AZ,consumer,True
C0000062,2021-12-21,CO,consumer,True
C0000063,2021-01-12,FL,consumer,True
C0000064,2019-12-24,NV,consumer,True
C0000065,2025-12-10,AZ,consumer,True
C0000066,2018-02-04,UT,consumer,True
C0000067,2018-10-11,GA,consumer,True
C0000068,2019-07-16,FL,consumer,True
C0000069,2025-09-30,CO,consumer,True
C0000070,2023-07-14,CO,small_business,False
C0000071,2025-01-18,GA,consumer,True
C0000072,2019-08-09,NC,consumer,True
C0000073,2023-10-07,AZ,consumer,True
C0000074,2020-12-15,CA,small_business,True
C0000075,2021-11-28,CO,consumer,True
C0000076,2018-01-11,FL,consumer,True
C0000077,2022-12-09,CA,consumer,True
C0000078,2024-08-20,CO,small_business,True
C0000079,2023-04-22,FL,consumer,True
C0000080,2019-03-28,NY,consumer,True
C0000081,2022-04-08,IL,consumer,False
C0000082,2020-02-21,NY,consumer,True
C0000083,2025-09-18,NV,consumer,True
C0000084,2025-01-14,AZ,small_business,True
C0000085,2019-06-28,GA,consumer,True
C0000086,2022-01-28,FL,consumer,True
C0000087,2025-07-07,NC,consumer,True
C0000088,2024-10-09,TX,consumer,True
C0000089,2023-08-30,CA,consumer,False
C0000090,2023-02-11,IL,small_business,True
C0000091,2018-05-03,AZ,consumer,True
C0000092,2023-12-06,FL,consumer,True
C0000093,2021-10-14,CA,consumer,True
C0000094,2018-09-25,FL,small_business,False
C0000095,2019-12-15,UT,consumer,True
C0000096,2022-04-30,WA,consumer,True
C0000097,2023-10-24,CA,consumer,True
C0000098,2022-01-22,FL,consumer,True
C0000099,2022-11-25,AZ,small_business,False
C0000100,2024-12-19,NV,consumer,False
C0000101,2023-06-27,AZ,consumer,False
C0000102,2020-11-20,CA,enterprise,True
C0000103,2023-02-22,CA,consumer,True
C0000104,2022-10-13,FL,consumer,True
C0000105,2018-11-13,NV,small_business,True
C0000106,2018-06-23,WA,consumer,True
C0000107,2023-04-12,CA,consumer,True
C0000108,2021-02-05,FL,consumer,True
C0000109,2022-10-14,UT,consumer,True
C0000110,2020-08-01,GA,consumer,True
C0000111,2019-10-21,TX,consumer,True
C0000112,2019-03-15,NY,consumer,True
C0000113,2021-01-19,TX,consumer,True
C0000114,2024-07-11,WA,consumer,True
C0000115,2021-03-16,WA,consumer,True
C0000116,2021-01-12,WA,consumer,True
C0000117,2022-08-08,CA,consumer,True
C0000118,2025-10-28,IL,consumer,True
C0000119,2021-02-19,AZ,consumer,True
C0000120,2022-09-19,TX,consumer,True
C0000121,2021-07-07,NY,small_business,False
C0000122,2022-11-02,IL,consumer,True
C0000123,2021-07-25,NV,consumer,True
C0000124,2023-02-06,NC,consumer,True
C0000125,2022-05-17,AZ,consumer,False
C0000126,2023-05-30,FL,consumer,True
C0000127,2025-08-25,CA,consumer,True
C0000128,2019-03-17,TX,consumer,True
C0000129,2022-06-28,AZ,small_business,True
C0000130,2021-07-09,IL,consumer,True
C0000131,2020-11-11,NV,consumer,True
C0000132,2019-12-01,FL,small_business,True
C0000133,2018-06-02,FL,consumer,True
C0000134,2021-03-21,TX,consumer,True
C0000135,2024-08-09,FL,consumer,False
C0000136,2018-10-10,CO,consumer,True
C0000137,2021-03-31,TX,consumer,True
C0000138,2025-09-27,UT,consumer,True
C0000139,2025-08-10,TX,consumer,True
C0000140,2019-09-20,NC,consumer,True
C0000141,2018-01-23,CA,consumer,True
C0000142,2023-05-16,GA,consumer,True
C0000143,2018-02-11,GA,consumer,True
C0000144,2020-05-27,UT,consumer,True
C0000145,2021-12-22,FL,enterprise,True
C0000146,2024-12-27,WA,enterprise,True
C0000147,2018-09-29,UT,consumer,True
C0000148,2023-04-18,NC,consumer,True
C0000149,2022-04-06,FL,consumer,True
C0000150,2019-01-20,UT,small_business,True
C0000151,2024-10-05,GA,small_business,True
C0000152,2024-10-03,NC,small_business,True
C0000153,2021-11-10,NY,consumer,True
C0000154,2025-07-22,NV,consumer,True
C0000155,2022-11-08,AZ,consumer,True
C0000156,2025-03-24,NV,small_business,True
C0000157,2025-09-05,NY,small_business,True
C0000158,2022-07-22,NV,consumer,True
C0000159,2020-03-31,GA,consumer,True
C0000160,2019-03-01,CA,consumer,True
C0000161,2022-07-02,GA,consumer,False
C0000162,2019-07-16,FL,consumer,True
C0000163,2023-12-31,CO,consumer,True
C0000164,2025-06-02,CO,consumer,True
C0000165,2019-12-18,AZ,consumer,True
C0000166,2022-06-01,NC,consumer,True
C0000167,2018-05-24,TX,consumer,True
C0000168,2019-06-12,NC,enterprise,True
C0000169,2021-01-06,CO,consumer,True
C0000170,2025-01-25,UT,consumer,True
C0000171,2025-10-01,UT,enterprise,True
C0000172,2023-02-17,CA,consumer,True
C0000173,2022-08-31,GA,consumer,True
C0000174,2022-07-22,CA,small_business,True
C0000175,2018-06-26,CA,enterprise,True
C0000176,2021-01-03,WA,small_business,True
C0000177,2025-11-11,NY,consumer,True
C0000178,2021-04-14,NY,consumer,False
C0000179,2019-09-15,NY,consumer,True
C0000180,2019-12-01,TX,consumer,True
C0000181,2023-09-15,UT,small_business,True
C0000182,2018-04-22,CA,consumer,True
C0000183,2025-10-01,AZ,consumer,True
C0000184,2025-01-02,UT,consumer,True
C0000185,2022-07-16,WA,consumer,False
C0000186,2021-09-27,IL,consumer,True
C0000187,2024-02-02,UT,consumer,True
C0000188,2022-05-19,CO,consumer,True
C0000189,2021-10-25,NY,small_business,True
C0000190,2020-07-29,FL,consumer,True
C0000191,2021-07-28,FL,consumer,True
C0000192,2024-01-03,FL,consumer,False
C0000193,2018-06-10,IL,consumer,True
C0000194,2018-03-15,AZ,consumer,True
C0000195,2023-10-05,TX,consumer,False
