customer_id,email_domain,preferred_channel,primary_device,marketing_opt_in,risk_score,enriched_at,source_system
C0000001,outlook.com,email,ios,True,0.585,2025-04-24,data_vendor
C0000002,yahoo.com,email,android,True,0.666,2025-02-15,ad_platform
C0000003,icloud.com,email,ios,True,0.069,2025-02-11,crm_sync
C0000004,gmail.com,email,web,True,0.664,2025-07-28,crm_sync
C0000005,outlook.com,email,ios,False,0.093,2025-04-13,support_tool
C0000006,gmail.com,push,android,False,0.468,2025-11-24,crm_sync
C0000007,icloud.com,sms,ios,False,0.709,2025-04-26,crm_sync
C0000008,yahoo.com,sms,ios,True,0.317,2025-09-23,ad_platform
C0000009,company.com,email,ios,True,0.693,2025-06-30,ad_platform
C0000010,outlook.com,push,ios,True,0.454,2025-12-29,crm_sync
C0000011,yahoo.com,push,android,False,0.007,2025-07-22,crm_sync
C0000012,gmail.com,email,ios,True,0.854,2025-04-09,ad_platform
C0000013,proton.me,email,android,True,0.278,2025-04-23,ad_platform
C0000014,gmail.com,none,android,True,0.292,2025-03-04,support_tool
C0000015,gmail.com,push,ios,True,0.264,2025-04-16,ad_platform
C0000016,company.com,email,ios,False,0.738,2025-11-22,support_tool
C0000017,gmail.com,email,ios,True,0.103,2025-04-14,ad_platform
C0000018,proton.me,sms,web,True,0.059,2025-04-15,crm_sync
C0000019,outlook.com,sms,ios,False,0.795,2025-04-17,crm_sync
C0000020,gmail.com,push,web,False,0.274,2025-06-12,ad_platform
C0000021,outlook.com,push,android,True,0.89,2025-02-22,ad_platform
C0000022,outlook.com,email,ios,True,0.655,2025-07-24,ad_platform
C0000023,company.com,email,ios,True,0.693,2025-01-30,ad_platform
C0000024,company.com,email,android,True,0.392,2025-08-28,crm_sync
C0000025,gmail.com,sms,ios,False,0.943,2025-03-05,support_tool
C0000026,company.com,push,android,False,0.723,2025-05-11,support_tool
C0000027,gmail.com,email,ios,True,0.137,2025-04-13,support_tool
C0000028,icloud.com,sms,ios,True,0.608,2025-06-26,data_vendor
C0000029,yahoo.com,email,android,True,0.454,2025-03-09,ad_platform
C0000030,proton.me,email,android,False,0.54,2025-12-04,crm_sync
C0000031,yahoo.com,sms,ios,True,0.292,2025-01-08,crm_sync
C0000032,gmail.com,email,android,False,0.468,2025-06-13,crm_sync
C0000033,company.com,sms,android,False,0.542,2025-03-21,support_tool
C0000034,gmail.com,email,unknown,True,0.004,2025-12-06,crm_sync
C0000035,outlook.com,email,ios,True,0.893,2025-01-17,crm_sync
C0000036,proton.me,push,unknown,True,0.369,2025-12-15,data_vendor
C0000037,gmail.com,sms,ios,True,0.942,2025-06-19,crm_sync
C0000038,outlook.com,sms,web,True,0.65,2025-04-27,support_tool
C0000039,gmail.com,push,ios,True,0.573,2025-10-15,ad_platform
C0000040,icloud.com,push,web,False,0.497,2025-02-20,crm_sync
C0000041,company.com,email,web,True,0.489,2025-05-20,crm_sync
C0000042,gmail.com,sms,ios,True,0.782,2025-12-16,ad_platform
C0000043,icloud.com,email,android,False,0.538,2025-06-30,ad_platform
C0000044,company.com,sms,android,True,0.561,2025-03-23,crm_sync
C0000045,gmail.com,email,ios,True,0.71,2025-07-31,crm_sync
C0000046,gmail.com,email,web,False,0.625,2025-08-02,crm_sync
C0000047,outlook.com,email,ios,False,0.091,2025-07-09,ad_platform
C0000048,outlook.com,push,web,True,0.688,2025-03-13,crm_sync
C0000049,gmail.com,email,ios,True,0.469,2025-06-24,crm_sync
C0000050,gmail.com,push,android,True,0.782,2025-06-10,data_vendor
C0000051,outlook.com,sms,web,True,0.488,2025-06-15,crm_sync
C0000052,gmail.com,push,android,True,0.025,2025-08-25,ad_platform
C0000053,gmail.com,email,android,True,0.793,2025-04-23,crm_sync
