location_id,sales_channel,week_start_dt,txn_id,category,product_sku,units_sold,net_sales
246,InStore,2025-12-01,1,Apparel,10124,1,19.25
102,Online,2025-12-22,1,Apparel,10095,4,335.46
144,InStore,2025-10-20,1,Grocery,10032,4,385.61
251,InStore,2025-10-13,1,Apparel,10170,0,0.0
138,InStore,2025-10-20,1,Electronics,10012,2,109.14
185,InStore,2025-10-06,1,Electronics,10106,1,118.91
171,InStore,2025-11-10,1,Electronics,10077,1,93.52
151,Pickup,2025-12-22,1,Beauty,10135,0,0.0
110,InStore,2025-11-10,1,Electronics,10120,3,330.26
159,Online,2025-10-20,1,Electronics,10103,2,163.18
113,Online,2025-12-08,1,Beauty,10009,2,196.28
165,Pickup,2025-12-01,1,Apparel,10006,4,357.75
177,Online,2025-11-17,1,Electronics,10084,2,50.97
148,Online,2025-11-10,1,Beauty,10102,2,98.21
257,Online,2025-11-17,1,Electronics,10043,2,30.98
106,Online,2025-10-13,1,Beauty,10169,1,109.63
128,Pickup,2025-12-15,1,Home,10058,4,472.28
103,InStore,2025-11-03,1,Beauty,10096,3,79.38
233,Pickup,2025-11-03,1,Grocery,10119,1,98.41
231,Pickup,2025-11-03,1,Home,10128,2,157.13
157,InStore,2025-12-15,1,Grocery,10127,2,56.6
235,InStore,2025-12-22,1,Electronics,10044,1,39.33
142,Online,2025-12-08,1,Beauty,10143,2,172.52
247,InStore,2025-11-03,1,Grocery,10160,3,73.51
147,Online,2025-12-15,1,Beauty,10006,3,171.21
139,Online,2025-11-17,1,Beauty,10029,3,72.92
172,Pickup,2025-10-13,1,Electronics,10057,1,110.4
199,InStore,2025-11-10,1,Grocery,10111,3,248.06
123,Pickup,2025-10-06,1,Electronics,10161,1,74.28
237,Pickup,2025-12-08,1,Grocery,10161,3,193.41
120,Pickup,2025-11-03,1,Home,10127,5,103.41
257,Online,2025-12-01,1,Home,10003,3,38.07
195,InStore,2025-11-17,1,Grocery,10067,1,43.51
209,Online,2025-11-24,1,Electronics,10019,5,475.06
160,InStore,2025-10-20,1,Grocery,10044,1,36.63
200,Pickup,2025-12-08,1,Apparel,10112,4,347.58
153,InStore,2025-11-17,1,Grocery,10069,1,18.72
174,Online,2025-12-08,1,Apparel,10031,2,16.22
240,Online,2025-12-01,1,Beauty,10093,3,238.22
146,Online,2025-12-22,1,Apparel,10022,1,82.31
